Title,Price,Shipping Price,Sold Items
Samsung Galaxy Watch4 44mm R870 GPS - Good,$46.99,$26.05 shipping,896 sold
Apple Watch Series 3 38mm 42mm GPS + WiFi + Bluetooth Gold Gray Silver - Good,$88.99,$27.29 shipping,"1,752 sold"
Apple Watch Series 6 40mm 44mm GPS+ WIFI + LTE UNLOCKED - All Colors - Good,$129.99,$28.50 shipping,180 sold
Samsung Galaxy Watch4 40mm R860 GPS - Good,$41.99,$25.90 shipping,149 sold
Apple Watch Ultra GPS & Cellular 49mm Titanium Trail Alpine Loop Ocean Excellent,$464.99,$39.11 shipping,870 sold
Apple Watch Series 6 44mm (GPS + Cellular) Aluminum Case - Good,$121.99,$28.26 shipping,571 sold
Apple Watch SE 40mm 44mm GPS + WiFi + Cellular Pink Gold Gray Silver - Good,$119.99,$28.20 shipping,38 sold
Samsung Galaxy Watch4 Classic 46mm R890 GPS - Good,$51.99,$26.20 shipping,542 sold
Apple Watch Series 6 40mm (GPS + Cellular) Aluminum Case - Good,$118.99,$28.17 shipping,68 sold
Apple Watch Ultra 2 2nd Generation GPS & Cellular 49mm - Titanium - Excellent,$574.99,$71.16 shipping,523 sold
Apple Watch Series SE 44mm (GPS + Cellular) Aluminum Case - Excellent,$139.99,$28.79 shipping,253 sold
Apple Watch Series 7 41mm (GPS + Cellular) Aluminum Case - Very Good,$169.99,$29.68 shipping,38 sold
Apple Watch Series 4 40mm 44mm GPS + WiFi + Bluetooth Gold Gray Silver - Good,$92.99,$27.41 shipping,182 sold
Apple Watch Series 6 44mm (GPS + Cellular) Aluminum Case - Very Good,$139.99,$28.79 shipping,105 sold
Apple Watch Series 9 - GPS + GSM Cellular 41mm Smart Watch - Excellent,$279.99,$32.92 shipping,436 sold
Apple Watch Series 5 40mm 44mm GPS+ WIFI + LTE UNLOCKED Gold Gray Silver - Good,$112.99,$28.00 shipping,252 sold
Apple Watch Series 9 - GPS + GSM Cellular 45mm Smart Watch - Excellent,$299.99,$33.51 shipping,224 sold
Apple Watch Series 6 40mm 44mm GPS + WiFi + Bluetooth - All Colors- Good,$129.99,$29.23 shipping,31 sold
Apple Watch Series 5 40mm (GPS + Cellular) Aluminum Case - Very Good,$113.99,$28.02 shipping,504 sold
